Timestamp,Classe,Confianca,Centro_X,Centro_Y
2025-09-23T01:02:13.460318,motorcycle,0.57,290,128
2025-09-23T01:02:13.460521,motorcycle,0.52,248,148
2025-09-23T01:02:13.460798,motorcycle,0.51,110,162
2025-09-23T01:02:13.559431,motorcycle,0.67,151,141
2025-09-23T01:02:13.559633,motorcycle,0.57,286,418
2025-09-23T01:02:13.559801,motorcycle,0.57,274,115
2025-09-23T01:02:13.559978,motorcycle,0.53,90,151
2025-09-23T01:02:13.560148,motorcycle,0.51,227,137
2025-09-23T01:02:13.640753,motorcycle,0.67,147,154
2025-09-23T01:02:13.640945,motorcycle,0.58,276,123
2025-09-23T01:02:13.641182,motorcycle,0.58,288,494
2025-09-23T01:02:13.641389,motorcycle,0.57,224,143
2025-09-23T01:02:13.641581,motorcycle,0.54,78,163
2025-09-23T01:02:13.731688,motorcycle,0.63,131,161
2025-09-23T01:02:13.731888,motorcycle,0.62,61,170
2025-09-23T01:02:13.732202,motorcycle,0.61,288,496
2025-09-23T01:02:13.732405,motorcycle,0.53,206,154
2025-09-23T01:02:13.732680,motorcycle,0.51,254,137
2025-09-23T01:02:13.828012,motorcycle,0.62,112,165
2025-09-23T01:02:13.828299,motorcycle,0.60,194,160
2025-09-23T01:02:13.828491,motorcycle,0.59,52,170
2025-09-23T01:02:13.828674,motorcycle,0.56,247,141
2025-09-23T01:02:13.924258,motorcycle,0.70,281,494
2025-09-23T01:02:13.924455,motorcycle,0.66,107,166
2025-09-23T01:02:13.924757,motorcycle,0.62,43,173
2025-09-23T01:02:13.924977,motorcycle,0.58,175,158
2025-09-23T01:02:13.925213,motorcycle,0.52,229,140
2025-09-23T01:02:14.028594,motorcycle,0.71,97,161
2025-09-23T01:02:14.028822,motorcycle,0.68,170,155
2025-09-23T01:02:14.029044,motorcycle,0.65,281,483
2025-09-23T01:02:14.029247,motorcycle,0.65,39,171
2025-09-23T01:02:14.029438,motorcycle,0.54,224,136
2025-09-23T01:02:14.114476,motorcycle,0.68,281,487
2025-09-23T01:02:14.114708,motorcycle,0.67,35,166
2025-09-23T01:02:14.114886,motorcycle,0.65,89,159
2025-09-23T01:02:14.115110,motorcycle,0.62,155,150
2025-09-23T01:02:14.115303,motorcycle,0.58,202,131
2025-09-23T01:02:14.206858,motorcycle,0.76,76,158
2025-09-23T01:02:14.207034,motorcycle,0.72,148,152
2025-09-23T01:02:14.207258,motorcycle,0.71,281,488
2025-09-23T01:02:14.207443,motorcycle,0.63,29,166
2025-09-23T01:02:14.207647,motorcycle,0.62,197,133
2025-09-23T01:02:14.301843,motorcycle,0.71,62,157
2025-09-23T01:02:14.302045,motorcycle,0.71,275,483
2025-09-23T01:02:14.302233,motorcycle,0.64,127,147
2025-09-23T01:02:14.302383,motorcycle,0.53,180,130
2025-09-23T01:02:14.381849,motorcycle,0.74,56,162
2025-09-23T01:02:14.382059,motorcycle,0.71,275,480
2025-09-23T01:02:14.382250,motorcycle,0.66,120,151
2025-09-23T01:02:14.382447,motorcycle,0.57,181,133
2025-09-23T01:02:14.465828,motorcycle,0.76,55,164
2025-09-23T01:02:14.466067,motorcycle,0.75,274,485
2025-09-23T01:02:14.466223,motorcycle,0.73,123,154
2025-09-23T01:02:14.466437,motorcycle,0.61,174,135
2025-09-23T01:02:14.549016,motorcycle,0.74,275,484
2025-09-23T01:02:14.549189,motorcycle,0.73,123,160
2025-09-23T01:02:14.549345,motorcycle,0.72,53,168
2025-09-23T01:02:14.549511,motorcycle,0.56,173,139
2025-09-23T01:02:14.625786,motorcycle,0.79,276,490
2025-09-23T01:02:14.625951,motorcycle,0.74,55,174
2025-09-23T01:02:14.626147,motorcycle,0.74,119,164
2025-09-23T01:02:14.626359,motorcycle,0.61,171,143
2025-09-23T01:02:14.707333,motorcycle,0.80,274,493
2025-09-23T01:02:14.707502,motorcycle,0.72,51,179
2025-09-23T01:02:14.707747,motorcycle,0.67,115,166
2025-09-23T01:02:14.707951,motorcycle,0.61,167,147
2025-09-23T01:02:14.796945,motorcycle,0.81,276,493
2025-09-23T01:02:14.797113,motorcycle,0.69,52,180
2025-09-23T01:02:14.797327,motorcycle,0.64,110,169
2025-09-23T01:02:14.797494,motorcycle,0.57,163,149
2025-09-23T01:02:14.890601,motorcycle,0.75,273,491
2025-09-23T01:02:14.890999,motorcycle,0.69,52,182
2025-09-23T01:02:14.891538,motorcycle,0.61,109,172
2025-09-23T01:02:14.891791,motorcycle,0.55,160,147
2025-09-23T01:02:14.984824,motorcycle,0.73,55,180
2025-09-23T01:02:14.985060,motorcycle,0.73,275,497
2025-09-23T01:02:14.985234,motorcycle,0.64,116,170
2025-09-23T01:02:14.985406,motorcycle,0.57,161,148
2025-09-23T01:02:15.065623,motorcycle,0.74,55,181
2025-09-23T01:02:15.065843,motorcycle,0.73,275,495
2025-09-23T01:02:15.066045,motorcycle,0.68,119,172
2025-09-23T01:02:15.066216,motorcycle,0.60,170,149
2025-09-23T01:02:15.154622,motorcycle,0.75,274,486
2025-09-23T01:02:15.154886,motorcycle,0.73,56,177
2025-09-23T01:02:15.155072,motorcycle,0.72,124,167
2025-09-23T01:02:15.155226,motorcycle,0.51,170,145
2025-09-23T01:02:15.234334,motorcycle,0.74,275,486
2025-09-23T01:02:15.234516,motorcycle,0.70,125,167
2025-09-23T01:02:15.234694,motorcycle,0.70,56,179
2025-09-23T01:02:15.234870,motorcycle,0.51,176,144
2025-09-23T01:02:15.312214,motorcycle,0.76,274,477
2025-09-23T01:02:15.312354,motorcycle,0.63,59,174
2025-09-23T01:02:15.312531,motorcycle,0.61,127,165
2025-09-23T01:02:15.393430,motorcycle,0.69,127,161
2025-09-23T01:02:15.393624,motorcycle,0.66,274,439
2025-09-23T01:02:15.393777,motorcycle,0.64,175,137
2025-09-23T01:02:15.393923,motorcycle,0.64,57,170
2025-09-23T01:02:15.474911,motorcycle,0.68,275,443
2025-09-23T01:02:15.475083,motorcycle,0.67,128,160
2025-09-23T01:02:15.475275,motorcycle,0.64,64,168
2025-09-23T01:02:15.475474,motorcycle,0.61,176,136
2025-09-23T01:02:15.556109,motorcycle,0.69,142,163
2025-09-23T01:02:15.556304,motorcycle,0.66,276,465
2025-09-23T01:02:15.556516,motorcycle,0.59,194,142
2025-09-23T01:02:15.556691,motorcycle,0.58,70,172
